Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,26.3,26.3,27,31.9,27.8,19.4,26.3,15.7,26.2,33.5,31.1,29.4,19.9,31.3,29.6,24.2,27.2,27.7,22,21.1,22.5,23.7,29.9,1.9,1.9,36.8,9.7,22.2
2012,26.7,27.5,29.5,31.8,28.2,19,27.1,17.7,28.6,34.7,32.3,28,20.4,31.4,28,27.1,29.6,27.9,23.2,22.6,22.1,30.3,30,6.7,6.7,41.8,23.5,21
2013,25.6,27.1,27.5,34.5,26.7,18.3,26.4,15.4,29.3,30.7,31.7,29,20.5,29.3,29.5,27.5,26.9,27.3,21.6,22,21.9,35.5,29.4,9.7,9.7,36.3,30.9,12.3
2014,27.5,29.4,29.5,35.8,28.1,22.2,33.2,28.4,19.1,33.8,31.2,32.1,20.8,32.6,30.5,29.6,29.9,29.1,24.2,23.3,23.4,37.7,31,3.6,3.6,40.3,45.7,30.3
2015,29.2,28.5,29.8,35.1,30.3,21.1,21.7,22.3,29.2,31,31.4,38.4,22.8,24.5,26.6,31.3,31.5,33.2,33.5,28.8,28.8,28.8,28.8,23.2,25.5,33.1,36.9,39.2
