Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,24.1,21.4,24.1,31.1,25.2,17.3,22.7,13,18.6,25,26.1,28,22.8,29.4,26.1,22.9,25.4,24.6,19.3,19.7,22.1,31.8,30.9,4.8,4.8,42.4,26,26.6
2012,24.6,21.2,25.2,30.7,26.5,16.2,22.9,13.1,21.3,23.3,27.2,27.7,22.6,29.7,28.3,22.6,22.6,26.4,19.5,20.2,22.2,35.1,30.4,5.7,5.7,22,26.5,25.2
2013,25.9,21.4,25.3,30.2,28.4,16.8,23.6,10.4,22.1,23.5,29.4,29,23.8,33.2,27.2,24.1,27.3,27.2,19.3,20.6,23,33.8,31.6,10.2,10.2,36.1,27.8,17.8
2014,23.6,23,26.1,30.2,26.4,17,23.3,10.6,18.6,24.5,29.8,27.6,25.1,33.3,28.4,24.9,27.1,25,19.5,17.9,22.7,34.8,32.2,4.7,4.7,25,26.7,25.3
2015,25.5,23,26.5,34.8,27.5,17.3,10.6,22,24.2,25.2,29.8,30,19.3,23,26.8,27.4,28.7,30.1,31.6,24.3,24.3,24.3,7.7,23.5,23.7,25.4,33.4,39.2
