Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,28.1,27.6,28.4,32.2,31.4,20.2,32.7,27.8,14.8,28.8,28.9,32.4,24.5,31.7,33.7,30,27.8,25.8,22.5,24.3,27.9,15,30.3,30.3,30.3,29,29.9,29.9
2012,30.1,26.6,29.6,34.8,31.6,19.7,28.3,14.4,27.4,32.9,32.9,32.1,25.9,34.8,31.9,30.1,33.5,26.6,22.7,20.7,28.4,28.4,24.6,24.6,24.6,37.6,30.3,30.3
2013,29.1,28.7,29.8,34.2,31.5,22.2,28.9,15.1,24,33.2,34.3,33.4,27.2,35.6,33.7,30.1,28.4,27.4,25.3,24.2,29,29,16.8,16.8,16.8,44.7,25.7,25.7
2014,27.9,28.5,28.8,30.9,31.1,22.5,28.2,14.7,29,29.5,34.4,31.4,25.9,32.7,32.2,30.2,29.9,28,23.7,23.5,28.1,28.1,30,30,30,35.4,19.3,19.3
2015,29.1,30.9,31.7,32.4,34.1,21.8,22.5,27.2,29,31.8,33,33.5,24.7,30.1,30.2,30.3,31.7,33.4,36.5,30,30,30,30,30,21.7,27.5,30.3,30.4
