Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,32.4,37.3,36.9,35.4,34.7,31.2,34.9,25.9,35.7,39.9,40.8,37.5,27.9,37.6,39.9,39.2,33,34.6,29,29.2,30.7,42.9,26.8,26.8,26.8,26.8,26.8,26.8
2012,31.8,37.3,35.6,37.4,34.1,30.6,34.6,22.4,36.7,40.9,37.4,39.8,29,40.5,37.9,37.5,33.9,31.6,27.5,31,30.2,43.2,21.5,21.5,21.5,21.5,19.9,19.9
2013,33.8,36.4,32.7,38.7,38.2,30.6,35.1,23.5,35,38.9,46.2,36.7,28.2,41.2,40.7,32.5,35,33.9,29.7,28.8,31.1,42.5,35.3,35.3,35.3,35.3,35.3,35.3
2014,32.9,37.9,36.2,36.9,37.7,29.4,35.5,22,40.5,42.6,41.2,36.2,28.8,41.4,39.5,35.9,36,34,30.1,29.3,32.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4
2015,33.9,37.2,37.2,38.2,35,30.9,30.8,32.7,32.8,36.7,37,44.3,27,30.5,35.2,35.8,36.5,40.1,43.1,35.6,35.6,35.6,35.6,35.6,35.6,35.6,31,43.7
