Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,30.4,27.4,29,28.2,33,23.2,29,14.4,22.8,32.7,35.6,35.6,29.1,28.5,33.8,32.1,32.7,33.3,25,20.1,29.2,27.8,33.2,3,3,3,33.7,33.7
2012,31.5,29.3,32.3,28.6,33.5,23.9,30.4,30.4,16.5,30,33,34.1,37.8,29.6,37.4,36.6,30.1,31.1,30.5,27.8,23.9,30.2,45.1,39.4,39.4,39.4,35.4,35.4
2013,32.4,30.1,32.5,32.2,33,26.7,31.3,18.1,31.5,34.3,34.9,37.4,29.9,37.1,33,32.1,33.1,31.4,29.4,25.5,31,45.2,39.4,39.4,39.4,39.4,39.4,39.4
2014,32,29.8,31.9,37.4,32.5,25,30.9,15,27.1,35.4,36.1,37.9,30.9,32.8,35.2,34.7,31,30.8,28.9,26.4,31.4,31.4,27.9,6.2,6.2,6.2,24,24
2015,34.8,29.3,33.5,33.4,34.5,26.6,17.8,31.1,32.2,35.3,36.6,37.9,24.7,28,32.1,33.9,35.1,38,38.7,32.1,32.1,32.1,32.1,32.1,32.1,29.5,32.5,34.9
