Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,26.2,27.9,27.6,32.8,28.2,21.5,27,15.7,27.6,28,32,33,24.3,30,29,29,26.5,28.9,22,25.8,25.9,25.9,35.9,35.9,35.9,28.6,34.9,34.9
2012,27.3,26.2,29,30.3,24.5,24.2,26.8,13.3,21.7,31.3,34.2,29.8,26.9,28,27.7,27,32.7,27.2,22.6,21.9,26,26,31.6,31.6,31.6,37.4,32.5,32.5
2013,31.2,27.9,30.9,32.3,31.1,24.2,38.6,29.6,16.8,27.6,32.1,34.4,34.8,29.9,33.7,32.1,32.2,33.6,30.7,23,22.1,28.4,28.4,28.4,28.4,45.4,41.9,41.9
2014,28.7,29.2,30.3,34.4,28.7,24.3,33.1,28.9,18.9,30,32.4,31.9,26.2,35.2,32,30.5,32.3,25.9,25.8,23.2,27.7,27.7,37.6,37.6,37.6,37.7,31.8,31.8
2015,29.8,27.3,30.1,32.8,29.6,23,22.5,15.5,27.3,29,31.2,31.9,34.6,24.7,26.8,28.7,30.3,34.5,35.2,28.6,28.6,28.6,28.6,28.6,28.1,28.9,33.1,36.7
