Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,28.7,27.9,29.3,35.2,32.6,21.3,31.9,28.3,16.9,26.4,32,32.8,26.1,35,31,31.2,36.8,29.6,24.4,23.4,25.9,37.8,21.2,8.8,8.8,8.8,27.5,24.2
2012,26.5,28.7,29.1,33.7,31.6,21.1,27.6,11.2,23.9,30.4,34.3,34.4,26.2,30.3,32.9,32.1,29.2,31.8,24,21.7,24.5,37.4,27.6,8.6,8.6,38.4,29,16.9
2013,27.8,28.8,29.8,30.9,33.8,21.7,33.1,28.3,15.4,25.5,29.4,34.9,27,37.3,32.6,29,31.1,27.8,26.1,23.7,25.5,37.3,28.1,10.7,10.7,20.3,32.4,22.4
2014,27.8,31.3,30.2,36.6,34.3,22.9,29.6,11.5,31.1,31.1,35.6,33.6,29,36.4,35,30.8,33.2,31.2,26.9,24.7,27.9,39.1,22.6,10.6,10.6,39,26.8,36.5
2015,28,29.8,29.9,35.9,34.2,21.4,10.3,28.2,29.4,30.7,33.7,35.1,24,25.2,29.2,32.7,33.7,36.4,41,28.9,28.9,12.2,24.8,26.9,30.5,32.2,34.3,37.7
