Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,26.1,23.8,25.4,28,26.6,20.5,12.6,25.1,28.7,29.3,31.8,20.4,32.2,24.6,23.7,25.5,24.4,24.5,21.8,24.9,24.9,26,26,26,38.2,19.5,19.5,25
2012,22.6,26.8,25.6,36.2,25.7,17.1,26.6,32.1,24.1,37.4,37.4,14.6,23,29.1,20.5,25.2,26.4,22.2,23.5,29.1,21.9,26,24.3,24.3,28.5,28.5,28.5,24.6
2013,28.2,27.4,30.7,32.1,27.5,21.8,27.8,17.1,29.9,29.8,30.8,32.7,23.4,29.6,30.4,28.9,29.1,29.3,25.8,23.6,27.3,27.3,32.4,32.4,32.4,25.4,46.8,19.1
2014,29.7,29.2,31,43.3,27,25.2,29.5,23.5,25.4,36.8,31.9,34.2,24.7,38.9,31.5,26,32.2,29.4,28.3,25.4,28.8,28.8,36.5,36.5,36.5,44,19.6,16.9
2015,30.1,27.8,33.3,24.9,30.9,20.7,20.4,27.3,27.4,31.1,32.6,33.7,25.2,27.7,28.6,30.1,30.1,31.3,35.9,29,29,29,29,29,29,28,31.2,44.7
