Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,25.5,23.4,27.4,27.6,23.1,19.4,24.5,14,28,27.4,27.5,27.8,18.1,24.6,24.2,25.4,24,29.7,22.3,22.6,21.9,31.1,29.1,9.2,9.2,59.2,37.3,8
2012,26.5,25.8,27.3,31.2,26.8,19.2,20.7,26.2,12.2,22.6,31.4,29.9,32.5,25.1,25.6,27.4,25.8,25.3,28.8,26.9,21.5,25.7,34.1,26.9,26.9,19.8,25.7,27
2013,25.9,26.6,25.8,27.7,29,21.4,26.2,11.2,28.3,31,29.6,28.5,23.9,26.5,25.1,30.8,29.4,21,26.7,26.2,26.4,39,26.1,8.5,8.5,37.4,26.8,26.8
2014,29.9,25.4,27.4,37.8,26.2,22.6,27.7,12.7,29.7,36.8,28.9,25.6,27.6,36.7,27.5,27.9,28.7,27.2,22.6,30.6,26.9,38.1,30.3,15,15,35.5,20.6,20.6
2015,27.9,25.4,23.5,34.4,30.6,20.9,11.4,23.9,26.5,29.4,29.6,35.6,20.6,25,25.7,28.7,30,31.9,33.3,26.7,26.7,26.7,26.7,11,21.8,25.5,26.7,35
