Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,29.6,31.1,30.6,34,31.4,24.4,30.4,21.2,28.7,33.7,34.8,36.4,25.1,36.6,35.6,30,33.7,34.4,23.4,26.6,29.5,43.2,22.2,22.2,22.2,25.9,45.2,47.1
2012,31.5,31,32.6,33.2,31.8,26.5,31.3,17.2,28.7,37.2,37.6,34.2,29.2,34.1,34.5,31.7,32,33.4,25.6,28.3,30.6,42,22.2,22.2,22.2,42.7,27.1,27.1
2013,33.3,33.1,34.3,34.2,35.7,25.7,33.2,18.4,29.2,38.6,38.6,40.5,29.7,38.1,37.4,38.3,34.8,32.8,29.1,30.3,32.8,40.9,29.2,29.2,29.2,43.1,34,34
2014,33.3,29.9,31.1,33.2,33.3,28.1,31.6,14.6,29.7,39.5,37.1,37,27.5,35.1,35.2,30.3,33.7,35.4,28.1,24.6,31.3,42.9,18.5,18.5,18.5,24,37,37
2015,36.2,32.9,35,36.4,35.9,30.6,17.8,31.2,36.2,37.5,40.3,40.6,30.5,33.6,35.4,35.7,37.1,39,41.2,34.6,34.6,34.6,34.6,17.4,25.8,30.5,34.5,44.3
