Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,28.4,22.9,27.2,28.2,28.9,20.1,25.7,14.7,24.5,28.6,27.9,32.2,23.7,23.3,28.7,27.4,29.3,28.9,22,23,25.9,28.1,31.6,9.1,9.1,38.3,31,32.7
2012,27.8,23.6,27.4,31.6,28.2,19.6,25.7,14.2,21.8,28.9,28,32.2,26.3,27.2,28.5,27.4,28.6,26.1,23.3,22.4,25.4,28.9,30.6,11.7,11.7,36.9,27,32.7
2013,27,23.8,27.9,27.1,28.7,19.1,25.5,11.4,23.2,27.9,30.4,31.2,24.8,27.3,29.3,26,28.3,28.4,22.7,20.1,25.2,32,29.5,15.6,15.6,28.2,19.6,37.6
2014,29.7,25.4,30.3,31.6,29.3,21.9,27.6,16.2,23.7,29.8,31.5,33,28.5,34,31.1,30.3,30.2,30.4,24.5,20.6,27.6,32.7,34.8,12.6,12.6,35,36.6,36.6
2015,27.8,24.3,27,30.3,28.8,21.8,30.2,13.1,21,28.3,28.5,31.7,21.3,23.2,26.5,29.3,29.9,30.1,31.1,26.1,26.1,26.1,10.6,22.2,25.2,26.7,29.4,40.9
