Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,25.4,23.6,26.4,31.2,29,16.7,24.5,16.1,23.2,25.4,27,28.6,23.7,31.7,28.7,24.7,27.5,23.2,20.7,24.8,23,32.8,32.6,6.3,,,30.1,36
2012,27.1,24.1,28.3,33,29.2,17.8,25.6,9.6,28.7,28,28.8,27.9,26.5,35.5,30.8,30.8,27.3,28.7,21.4,21.2,24.1,34.3,32.2,5.6,,,44.2,24.4
2013,25.5,24.4,26.9,29.8,28.5,18.6,25,15.5,21.5,28.6,26.2,28.4,26.3,29.6,33.6,28.6,28.1,22.8,21.2,23.6,23.3,32.5,32.8,9.2,,,33.1,16
2014,26.5,26,28.7,30.7,29.2,20.1,26.3,11.4,25,26.8,30.8,31.7,27.2,34,30.9,27.7,27.6,30.1,23.9,19.7,25.1,37.3,27.5,13.1,,,38.6,21.8
2015,26.6,23.9,26,34.5,28.9,18.8,29,29.5,11.2,25.5,26,26.4,19.3,22.6,25.2,27.7,29.1,32.1,36.6,25.3,,10.1,20.5,23.7,30.3,32.2,35.3,36.8
