Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,29.2,27.6,30,28.1,30.3,24.1,28.4,14.7,27.3,32.8,31.6,35.1,27.2,29.2,30.4,30.3,32.6,30.5,25.1,21.3,28.3,32.8,29.8,9.5,9.5,44.7,31.5,18.2
2012,29.2,28.1,28.7,29.5,32,24.5,28.6,16.6,26,31,33.4,35.8,26.8,29.4,31.6,28.3,30.6,30.5,25.5,24.9,28.3,33.6,31.1,9.3,9.3,35.6,32,31.6
2013,30.8,28.4,32.1,30.1,30.9,24.3,29.6,14.4,26.4,34.3,34,37.5,28.2,29.9,31.6,30.8,32.1,30.5,26.3,28.1,29.2,34.7,30.1,12.9,12.9,37.2,34.5,34.5
2014,31.7,28.7,32.5,34.9,31.1,24.4,35.9,31.7,30.2,17.3,28.3,33.8,35.5,28.6,36.3,31.9,33.5,31.3,31.7,28.1,22.4,29.5,37.3,18.4,18.4,52.9,45.9,45.9
2015,32.9,29.8,34.3,29.6,34.1,25.4,15.1,29.8,32,33.6,36.5,38.3,26.5,27.9,32.8,33.1,33.3,34.5,36.5,31.4,31.4,31.4,13.4,30.5,31.3,33,36.8,47.3
