Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,23.1,24.5,24,32.9,26.4,15.3,27.6,23.8,14.5,23.7,25.9,27.6,21.2,29.9,30.1,27.2,22.1,24.3,17.7,17.5,22,33.1,30.3,8.1,23.2,37.3,26.9
2012,26.2,23.8,26.3,34.8,26.4,16,25,12.2,23.2,28.7,31.3,30.6,21.1,29.9,30.2,28.7,23.4,27,20.1,16.8,23.3,36.6,31.1,10.3,31.4,17.6,28.8,
2013,25.1,23.1,26.4,34.3,24.5,14.3,24.1,12.2,23,26.7,28.3,30.3,22,29.7,27.4,25.6,25.4,25.8,19.5,17,21.8,34.8,30.6,9.3,,38.6,33.8,
2014,24,25.4,26.1,34.2,25,17.2,24.7,13.3,23.7,28.1,26.9,29.8,24.1,30,27.4,26.6,24,22.7,22.3,20.9,22.7,32.7,32.3,8.9,,32.1,28.6,22.7
2015,24.6,23.7,25.3,33.9,26.6,15.1,27.7,13.6,22.8,25.1,26.1,27.5,19.1,19.6,25.4,27.4,28.5,29.5,30.2,24.2,,10.1,22.2,24.3,26,26.6,30.8,31.3
