Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,29,28.6,30.9,35.2,27.9,24.1,28.8,14.2,25.3,33.2,31.4,36.1,28.9,33.5,35.6,31,32.3,26.4,27,22,27.2,38.2,22.4,2.1,2.1,2.1,36.5,36.5
2012,26,27.8,31.2,27.6,27.8,20.5,28.6,9.9,26.9,25.2,29.4,32.1,35.1,26,32,30.1,35.5,30.5,26.1,24.4,15.8,25.6,34.5,2.9,2.9,2.9,26.6,26.6
2013,30.6,31.5,34.6,39.3,29.8,24.7,31.1,16,30.8,31.4,39.1,34.6,30.3,36.5,36.3,36.8,29.9,31.7,28.2,25.5,29.3,39.3,36.4,8.2,8.2,8.2,22.8,19.1,
2014,29.4,31.9,33,30.8,32.7,25.2,17.4,30.7,25.9,34.5,36.4,35.9,30.5,35.5,33.8,31.5,34.6,36.6,24.9,27.7,29.6,37.7,31.3,10.7,10.7,10.7,27.5,27.5
2015,28.1,31.2,29.2,36.1,31.4,25.6,33.4,36.3,18.2,27.9,29.6,30.3,22.1,26,30.2,31.1,33.2,37.1,40.6,29.7,29.7,29.7,29.7,29.7,29.7,29.4,32.8,38.3
