Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,29.8,30.7,31.5,33.8,30.3,26.4,30.3,18.5,26.1,33.2,37.7,37.4,26.2,31.8,34.2,31.5,30,30.7,27.6,27,29.4,39.5,27.8,27.8,27.8,37,32.2,32.2
2012,29.6,29.6,29.9,33.9,29.1,27.3,37,29.6,14.7,24.5,33,36.8,28.1,31.7,33.9,33.8,29.8,29.1,28.3,22.2,27.8,41.2,42.1,42.1,42.1,42.1,30.2,30.2
2013,30.7,30.2,34,31.3,32,23.1,30.4,20,25.9,39.1,34.8,34.6,26.7,29.9,32.3,36.4,30.8,32.1,28,26,29.6,38.9,31.2,31.2,31.2,31.2,36.4,36.4
2014,30.2,30.2,30.3,33.7,32.7,25.2,30.2,18.9,31,34.4,34.2,32.9,27.9,35.1,32.5,35.2,33.1,29.9,26.1,26.4,29.4,39.5,33.3,9.5,9.5,52.4,24.3,24.3
2015,33.5,31.2,32.6,38.5,32.7,28.7,21.4,27.5,29.4,35.3,38.7,39.8,25.9,31.8,31.9,32,33.4,34.5,39.5,32.4,32.4,32.4,32.4,30.2,30.6,32,32.6,36.9
