Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,29.3,26.1,26.9,40.5,30.3,19.6,32.9,15.5,23.7,28.2,35.6,26.9,37.1,27,33.8,28,25.8,24.1,24.5,26.8,43.9,34.7,34.7,34.7,30.9,30.9,26.1,27.7
2012,29.6,29.8,29.2,37.5,31.5,24.1,24.1,24.1,16.9,26.2,30.9,34.4,36.6,29.5,33,32.1,32.9,26.9,32.4,25.1,30.1,29.5,36,31.4,31.4,31.4,36.9,29.7
2013,30.7,28.7,30.3,36.2,32,23.1,29.8,14.4,25.1,33.5,33.6,34.9,32.5,29,31,35.7,29.4,28.8,28.1,28.9,29.5,36.1,31.5,31.5,31.5,37.8,35.7,35.7
2014,31.8,30.5,33.4,33.6,33.2,24.3,31.2,16.7,31.7,36.4,32.5,36,30.3,37.8,32.7,33.1,31.4,31.6,28.7,26.3,29.9,44.5,38.8,8.9,8.9,56.9,54,34.4
2015,31.2,30.1,34.4,28.9,32.1,24.8,14.1,29.3,31.9,33.7,34.3,36.5,22.4,28.2,28.5,30.1,33.6,36.4,38.4,30.7,30.7,30.7,30.7,30.2,30.2,33,44.5,45.7
