Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,28.6,33,32.9,32.7,31.8,25.3,16.3,28.2,37,38.9,35.5,25.2,36.4,35.8,32.1,34.2,30.5,24.1,25.3,27,42.3,25,4.8,4.8,37.2,37.3,34,30.8
2012,30.1,33,32.4,38.3,32.7,23.9,31.6,18.6,30.3,37.9,37.5,36,27.2,39.1,36.2,34.6,30.3,31.3,25,26.5,27.8,42.5,28.4,18.5,18.5,44.4,27.2,30.8
2013,30.1,33.4,33.9,35.3,32.4,25.4,31.7,17.9,34.2,36,35.8,37.6,26.7,37.7,36.1,33.8,32,31.1,27.8,24.8,27.6,43,36.1,8.1,8.1,31.4,38.8,38.8
2014,31.7,32.4,33.1,35.5,33.7,26,32.1,20.1,30.2,36.6,38,38.8,27.1,37.6,35.6,33.1,32.3,30.4,29.3,26.7,28.8,42.7,32.5,12.2,12.2,27.8,17.3,17.3
2015,30.3,33.1,31,33.4,36.3,25.6,20.3,28.5,30.3,35,36.6,38,26.7,28.2,32.1,32.5,33,34.1,40,31.7,31.7,31.7,16,24.2,27.5,28.3,28.6,40.9
