Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,30.9,29.9,32.2,33.6,32.5,23.5,17.5,30.9,31.6,37,36.5,26.3,35.8,34.3,30,31.9,33.8,26,24.2,27,39.5,34.4,10.5,10.5,47.6,28.3,28.3,30.4
2012,28.5,30,29,34.3,31,23.8,13.9,25.1,36.6,34.5,35.4,26.9,36.1,34.7,28.3,29.6,30.9,24.3,22,25.2,36.3,35.2,6.6,6.6,6.6,26.8,26.8,29.2
2013,29.6,32.2,29.8,38.7,34,22.9,30.9,19,30.6,33.5,35.3,37.1,27.6,41.1,35.1,31.2,32,31.6,24.7,26.8,27.1,38.8,36.5,9.5,9.5,27.2,27.2,27.2
2014,33.2,30.7,32.6,38.9,35.3,22.1,35.6,31.9,19.1,30.4,31.4,36.5,41.8,30.7,41.5,35.5,35.2,32.9,33.1,26.6,26.4,27.8,46.5,7.8,7.8,32.5,30.4,30.4
2015,31.7,33.1,32.5,40.2,34,25.4,22.4,29.5,29.7,33.9,36.5,40.5,28.3,29.9,30,32.3,35.7,36,41.1,32.4,32.4,32.4,9.7,23.1,28.8,33.5,38.8,39.1
