Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,29.9,26.3,27.2,30.7,29.7,26.1,14.5,25.3,36,33.3,34.9,23.8,31.8,33.8,28.3,27.5,28.4,25.6,22.6,26.7,26.7,39.9,39.9,39.9,44.7,25.3,25.3,28.1
2012,28.7,27.5,28.1,31.6,30.8,23.1,28.1,15.7,25.6,31,32,33.9,28.4,35.9,29.3,28.5,30.4,28.7,25.1,23.6,27.8,27.8,26.8,26.8,26.8,35.8,26.6,26.6
2013,32,27.6,32.6,31.6,27.8,27.6,29.9,17.3,27.7,32.8,35.7,34.6,28.7,31.7,30.7,28.8,25.2,34.2,29.5,29.2,29.9,29.9,28.9,28.9,28.9,35.1,28.6,28.6
2014,31.5,28.1,31.4,30.5,30.2,26.9,29.6,29.8,15.8,34.2,33.4,37.7,26.7,32.5,34.6,30.3,30,33.6,29.8,20.5,29,29,25.6,25.6,25.6,40.7,54.3,54.3
2015,32.2,28.5,32.8,30.2,29.3,28.6,16.2,26.2,26.6,35.8,35.9,40,22.8,28.4,32.3,32.6,33.4,34.8,35.7,30.4,30.4,30.4,30.4,30.4,30.1,31.4,31.8,37.1
