Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,25.6,21.8,25.1,29.4,26.9,17.4,23.7,12.1,21.7,23.4,27.5,28.2,25,28.5,30.4,26.6,26.1,23.4,21,18.4,23.1,31.8,27.3,10.2,10.2,26.1,28.9,12.3
2012,26.3,22.9,26.1,31.7,27.6,18.3,24.6,12.6,21.9,27.3,26.5,28.2,27.2,30,28.8,26,25,26,22.5,20.9,24.1,36.1,26.3,7.9,7.9,16.1,26.2,22.5
2013,31.1,31.9,34.5,31.5,32.7,25.5,31.5,16.5,30.3,33.7,37.3,37.6,29.8,36.6,37,33.2,34.4,31,27.8,24.2,30.6,39.2,32.7,5.9,5.9,33.1,34.1,34.1
2014,28.5,25.3,26.3,31.8,32.3,20.7,26.9,13.3,24.4,29.4,29.6,32.6,27.3,29.5,27.6,33.2,31.6,29.1,24.2,23.4,26,38.4,31,8.4,8.4,23.6,31.4,23.6
2015,27.4,23.7,25.1,32.6,29,20.4,19.8,10.7,23.3,26.9,28.1,28.9,30.5,21.3,22.9,26.4,27,30.9,31.5,32,25.6,25.6,25.6,9.5,24.8,26.6,35.7,48.4
