Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,28,30.4,28,34.1,32.4,22,13.6,24.7,35.8,37.9,32.5,25.2,36.5,33.2,29.4,24.1,29.7,25.3,26.3,27.9,40.2,22,22,22,22,31,31,29.2
2012,30.4,31.8,33.2,34.2,31.7,25.2,39.3,37,26.3,34.1,34.3,33.3,29.7,32.2,29.7,27.2,29.6,40.7,29.3,29.3,29.3,29.3,24.8,24.8,31.1,14.7,27.6,38.5
2013,32.8,34.6,33.2,41.3,34.7,27,33.7,17.9,33.5,40.3,39.8,38.6,28.3,38,36.1,35.7,39,35.8,26.3,30.6,33,40.4,40.4,40.4,40.4,40.4,40.4,40.4
2014,32,30.5,30.9,38.2,31.8,25.5,39.3,38,31.2,18.6,27.9,37.1,23.9,40.5,32.4,34,28.8,32.2,26.6,28.6,29.6,40.7,38.9,38.9,38.9,38.9,38.9,38.9
2015,33.1,34.5,35.5,33.1,37,27,18.1,27.7,35.1,37.6,40.3,41.1,26.3,32.4,33.4,35.2,35.4,37.2,38.6,33.8,33.8,33.8,33.8,19.2,31.9,32.6,45.8,48
