Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,33,33.8,35.8,36.3,33.6,26.6,33.4,17,32.7,38.5,39.7,41,28.7,35.4,36.7,36.8,36.3,36.8,29.9,26.1,31,39.4,37.4,37.4,37.4,39.6,23,25.1
2012,33.5,35.9,37.5,38.6,34,28.3,34.7,19.6,34.6,41,40.4,39.6,30.4,44.5,38.2,32,37.1,31.7,32.8,26.1,30,45.4,35.1,35.1,35.1,25.2,30.9,25.6
2013,31.1,35,32.5,38.8,34.7,25.8,33.1,17.7,27.5,40.4,40.5,37.8,32.2,40.3,36.8,28.2,38.4,28.7,30.6,27.1,30.2,40.7,27.3,27.3,27.3,27.3,27.3,27.3
2014,34,35.7,34.4,36.1,37.1,30.7,34.9,19.4,35.5,40.7,38.5,40.1,32,40,36.1,39,37.8,33,33.7,27.6,31.3,43.4,32.9,32.9,32.9,26.9,44.3,27.9
2015,35.9,36.5,35.2,40.2,39.2,29.1,28.1,29.1,33.6,39.8,41.6,44.5,31.7,32.7,34.2,35.8,40,41.3,43.1,36.2,36.2,36.2,36.2,36.2,26.5,30.2,34.3,43.4
