Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,25.8,22.9,25.4,31.2,24.5,20.2,12.9,22.5,28.3,28.1,32.7,24.6,28.1,26.6,26.5,27,26.2,21.8,18.9,24.4,30.4,24.1,13.1,13.1,42.3,28,19.2,24.4
2012,24.6,24,25.5,27,24,21.7,12.2,21.8,24.6,32.7,31.8,25.6,24.1,25.4,27.9,27.5,26.3,22.4,17.9,24.4,13.9,26.3,5.4,5.4,37.8,23.7,15.6,24.3
2013,24.6,23.7,26,21.9,25.4,20.8,24.1,11.3,21.4,28.1,30.7,30.4,25.4,26.3,27.1,26,27,25.5,22.1,18,23.6,33.6,27.7,8,8,27.4,24.7,24.7
2014,25.7,25.8,27,29.3,26.3,22,25.7,13.3,23.1,29.2,30,32.5,28.4,29.2,27.7,30.5,28.6,28.1,22.4,20.1,25.7,29.4,28.5,8,8,34.8,26.7,26.7
2015,24.9,24,25.8,27.6,25,21.2,10.2,23.6,26.2,26.5,31,31.1,21.9,22,24.9,26,27.4,28.5,29.7,24.5,24.5,6.5,24.1,27.1,28,29.4,34.3,56.5
