Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,27.7,26.5,28,29,29,23.4,31.4,27.1,11.8,24.3,28.3,32.8,33.1,29.1,29.1,26.9,27.7,28.1,24.7,19.3,26,39.2,25.2,4.6,4.6,4.6,33.4,33.4
2012,28.3,28,28.4,30,30.7,24.2,28.3,28.1,13.6,23.2,32.8,31.7,35.8,27.7,34.7,28.6,28.9,27.2,30.5,25.3,23.6,27.2,39.2,7.1,7.1,7.1,20,20
2013,28.3,30.5,30.9,31.2,33.5,22.8,29.4,15.8,24,33.7,35.7,34.8,28.8,32.1,33,35.8,32.8,28,24.8,23.2,27.9,37.9,35.8,7.9,7.9,7.9,26.5,26.5
2014,27.9,30.7,31.5,32.3,33,22,29.3,13.1,22.6,35,34.3,35.8,31,35.5,32.6,31.7,29,30.3,25.9,18.7,27.5,43.8,34.9,3.2,3.2,3.2,23.1,23.1
2015,29.7,31.9,33.4,32.5,34.9,23.5,17.1,25.7,31.3,34.9,35.2,37,26,27.8,28.4,30.1,31.6,36.1,37.7,30.8,30.8,30.8,30.8,9.6,22.4,29.4,37.4,40.6
