Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,30,29.1,31.3,30.6,31.5,24.9,29.6,16.1,28.8,32.9,34.8,36,26.3,35.8,31.8,30.9,32.7,31,25.6,24.4,29.1,40.9,30.5,8.9,8.9,32.8,33.5,32.6
2012,30.6,29,31.6,36,31.4,23.6,29.8,19.6,30.2,33,35.3,33.1,26.2,36.5,34.2,33.2,30.8,30.8,24,25.2,29,36.1,35.9,11,11,35.1,35,35
2013,30.5,29.4,31.4,35.1,31,25.1,30,18.1,28.9,34.5,34.1,37,25.9,35.3,33.6,31.1,31.7,30.6,26.2,25.5,29.4,40.5,33.6,9.1,9.1,36.8,31,27.8
2014,31.1,31.5,32.7,31.2,33.4,27.4,33,31.3,15.2,30,36.5,36.6,38.4,28.7,34.7,34,36.7,33.2,27.7,25.7,30.5,42.1,33,11.1,11.1,35.2,33.9,33.9
2015,35.1,33.3,34.5,39.3,36.4,30,22.1,30.5,35.8,38,38.8,39.1,29.6,31,34.3,37.3,37.7,38,38.4,34.2,34.2,34.2,10.9,33.4,38.6,39.7,40.5,45.6
