Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,26.7,29.3,28.6,34.1,29.5,21.4,28,15,26.5,29.6,33.7,34.4,25.4,33.9,33.2,29,26.8,31.2,21.3,23.3,25,36.8,26.4,5.4,5.4,31.6,27.1,8.6
2012,27.7,30.5,31,28.4,32.6,23.2,29.1,14,30.6,31.9,33.6,36,25.4,32.4,33,33.2,27.7,28,25.3,24.9,26.3,36.4,29.2,8.5,8.5,8.5,36.8,17.9
2013,29.2,31.5,30.8,35.1,32,24.6,30.3,19.8,27.3,34.7,34.9,35.9,26.5,35.8,33.4,32.3,31.6,33.2,25.2,25.2,27.4,38.3,28.5,12,12,30.7,37.1,36.7
2014,27,29,27.3,33.2,29.3,21.9,26,28,18.7,34.6,30.5,29.4,24.9,34.5,28.5,24.6,28.9,28.6,23.3,24.9,14.9,14.9,32.4,10.5,39.8,39.8,32.5,32.5
2015,33.4,29.6,28.8,35,34.4,26.4,22.3,25,28,33.7,36.5,39.9,28.4,28.5,29.6,32,33.2,34,37.1,31.6,31.6,31.6,31.6,9.9,29.3,31.2,35.5,45.1
