Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,24.4,19.2,22.8,27.1,24.9,15.2,21.8,9.3,23.7,30.5,25,22.8,16.9,23.1,21.2,21.9,19.9,28.2,21,15.9,19,19,26.8,16,45.5,45.5,32.5,23.2
2012,26.8,20.3,23.6,27.4,27.8,17.4,23.6,17.3,24.7,32,27.7,25.9,14.1,27.3,25.3,23.7,24.9,23.7,22.9,18.2,19.7,40,28,16.7,51.4,51.4,34.1,21.2
2013,24.7,18.7,22.3,29.3,24.2,15.7,21.8,15,25.8,24.2,27,21.9,16.1,20.6,26,19.8,23.4,23.9,20.8,17.1,19.1,19.1,32.9,11.9,56.2,56.2,33.9,23.7
2014,23.1,21,23.2,21.3,25.2,17.4,32.3,22.1,13.8,25.9,28,26.4,23.9,14.1,27,23.9,22.5,21.5,21.7,21.4,17.4,17.6,34.3,15.2,51.9,51.9,32.1,32.1
2015,25.5,19.7,22.7,32,24.8,17.1,14.1,17.9,22.5,23.8,26.5,30.7,18.8,21.6,22.3,23.3,23.7,24.7,27.1,22.7,22.7,22.7,22.7,16,17.2,30.3,31.8,55.3
