Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,30.9,30.8,31.8,36.2,32.3,23.5,30.8,19.6,30.9,33.2,35.8,36.7,26.6,35,35.3,32,30.3,32,26.4,27.5,29.5,42.2,34.7,34.7,34.7,37.9,45.4,45.4
2012,31.8,30.9,32.6,37.5,32.1,24.2,31.4,19.2,33.6,30.5,35.8,38.4,29.3,36.9,35.5,31.7,33.8,35.2,23.8,26.7,30.2,43.7,30.3,14.7,14.7,14.7,42.6,42.6
2013,31.1,32.6,33.6,35.1,33,25.4,37,31.8,19.7,29.2,32.7,38.8,30.7,37.1,34.8,33.7,34.4,33.2,27.1,26.8,30.6,41.7,34.9,7,7,44.7,37.3,37.3
2014,32.5,33,33.8,34.9,34.1,27.6,35.5,32.7,19.9,32,38.8,37.8,30.2,40.3,34.7,31,34.8,31.9,30.6,27.6,32.4,42.1,30.8,10.4,10.4,39.2,30.1,30.1
2015,31.9,30.7,32.3,26.1,35.3,26.5,22.6,28.3,29.5,30.9,36.7,38,26.2,28.4,29.6,32.3,33.9,34,38.1,31.3,31.3,31.3,31.3,5.4,28.5,30.8,33.4,40.9
