Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,30,25.4,29.2,25.1,28,26.5,36.2,24.4,33,26.6,28.7,32.6,29,27,18.7,26.9,26.9,36.6,36.6,36.6,44.1,44.1,44.1,27.8,10.7,28.3,35.1,34.1
2012,32.3,26.7,30.2,38.3,29.9,25,29.7,18.1,25.5,37.1,33.9,36.2,27.3,30.9,32.1,26.8,32.2,31.1,31.2,20,29.1,29.1,38.6,38.6,38.6,41.8,41.8,41.8
2013,33.7,28,33.4,28.6,32,26.8,31,17.5,28.4,34.9,36.7,39.2,29.3,30.1,36.6,35.1,30.5,30.2,28.5,30,31.2,31.2,33.6,33.6,33.6,36.1,36.1,36.1
2014,34.7,29.5,34.9,33.3,33,26.9,32.2,16.3,32,42.6,36.8,36.8,29.9,35.1,34.3,29.4,33.8,36.8,29.8,28.5,31.8,31.8,40.9,40.9,40.9,40.9,40.9,40.9
2015,34.5,27.1,31.7,32.1,34.1,26.3,16.7,24.8,30.9,35.6,38.6,40.2,23.5,30.3,30.7,31.2,34.2,34.7,35,31,31,31,31,31,31,31.1,39.3,42
