Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,28,26.7,25.8,28.8,33.1,22.1,27.4,19.8,23.5,29.5,29.2,33.4,29.3,33.6,30.2,32.2,24.5,27.8,26.9,22.7,25.9,,31.5,,,30.9,23.3,35.5
2012,25.9,25.4,26.9,23.3,25.8,24.9,30.3,32.6,32.3,20.1,25.7,9,26.8,29.4,24.2,24,27.3,28.4,26.4,20.2,26,39,21.1,2.3,,31.9,22.4,21.5
2013,29.2,27.5,29.6,28.2,33.1,21.2,12.6,28.4,28.1,33.5,29.8,33.1,30.4,29.3,32.7,24.5,31.7,32.3,27,19.6,26.4,39.5,31.7,30.3,,33.6,23.2,
2014,29.3,30.2,34,32.8,28.3,23.4,29.7,14,28,33.6,35.2,34.5,29.6,31.5,29.6,32.9,36,30.2,29.3,18.8,28.6,42.3,29.6,17.8,,33.8,34,
2015,29.3,30.5,33,30.2,28.4,26.7,24.1,33.1,19.2,29.8,30.6,30.8,34.7,21.9,26,29,30.8,31,31.7,40.1,29.8,,,18.5,28.1,29.1,39.1,39.3
