Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,31.9,30.7,32.8,33.8,32.1,26.6,36.7,31.3,17.3,31.3,33.3,34.7,38,29.5,37,35.4,30.5,28.6,32.6,28.2,28.4,29.7,41,6.9,6.9,38.6,35.3,35.3
2012,31.5,30.6,32.4,30.6,33.9,25.5,35.6,31.1,18.9,31.4,35.5,33.2,29.6,35.5,35.1,32,33.4,31.7,26.6,26.4,29.9,37.8,37,14.8,14.8,33.3,35.3,35.3
2013,31.1,31.9,34.5,31.5,32.7,25.5,31.5,16.5,30.3,33.7,37.3,37.6,29.8,36.6,37,33.2,34.4,31,27.8,24.2,30.6,39.2,32.7,5.9,5.9,33.1,34.1,34.1
2014,30.9,30.6,32.4,29.4,33.6,25.2,30.7,11.6,29.1,33.3,36.5,36,32.7,32.5,34.6,35.3,32.8,30.7,27.5,25.2,30.2,33.6,36.8,16.7,16.7,28.4,35.3,35.3
2015,31.7,30.6,32.1,31.8,34.2,25.9,16.4,29.9,30,34.6,35.7,37.8,25.7,27,32.8,33.5,34,36.1,36.2,31.2,31.2,9,22.3,29.8,34.9,37.5,40.2,41
