Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,21.1,20.3,22.3,25.7,23.5,15.6,20.7,10.2,19.3,22.7,24.2,24.2,20.2,25.9,24.2,23.7,21.3,19.5,18.3,17.5,18.9,34.2,26.5,7.7,,30.7,23,23.5
2012,21.1,19.8,21.9,25.6,23.1,15.7,20.5,11.8,16.6,23.4,25.5,23.6,19.6,23.7,22.2,22.2,22,19.6,19.3,16.9,18.7,28.2,26.9,9.2,,28.6,19,31.7
2013,20.8,21.8,24.1,28.8,21.7,15.8,24.9,21.3,11.3,20.8,24.5,24.6,18.6,28.2,23.7,23.3,21.8,22.3,18,19.6,18.7,29.5,30.5,9.8,,23,23.2
2014,21.9,20.7,23.7,26.3,23.3,16.2,8.7,26.8,21.3,10.9,18.7,24.1,24.7,26.1,20.5,27.1,23.5,24.3,24.2,22.2,18.8,16.3,19.9,30.5,,37.6,18.2,19.4
2015,20.2,20.2,21.8,28.8,22.5,14.7,24.1,24.1,11.2,17.3,20,22.5,17.4,18.2,21.5,21.9,22.5,23.7,24.5,20.2,,8.3,15.3,17.5,18.7,23.2,27.6,27.9
