Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,18.6,28.4,31,39.7,33,11.9,23.7,8.5,20.8,22,34.8,30.6,26.3,41.6,35.3,30,27.6,20.3,12.7,22.1,10.7,36.7,13.3,0.9,0.9,0.9,32.2,22.9
2012,17.9,25.5,27.8,31.6,32.3,12,21.9,16,15.7,23.3,31,32.9,19.1,26.8,28.5,24.1,22.6,19,14.8,29.3,9.6,33.7,24.9,4.6,4.6,4.6,34.2,34.2
2013,20.6,24.9,27.7,37.8,31.3,13.7,22.9,7.6,18.9,27.4,29.9,30.1,23.8,35.5,35.1,27.5,24.3,20.5,13.5,20.7,9.8,36.4,15.3,5,5,5,19.1,19.1
2014,19.5,23.7,27.3,37.5,30.1,12.6,21.7,10.3,18,20.6,32.8,26.5,23.7,34.1,27.5,22.3,28.8,23,12.1,25,10.3,33.9,19.9,5.9,5.9,5.9,34.2,34.2
2015,17.6,26.4,28.8,40.3,30.2,12.7,12.3,15.4,22.5,28,29.7,33.7,12.5,19.8,23.9,27.1,27.8,30.3,35,22.1,22.1,22.1,6.2,9.6,19.1,19.1,23.3,35.2
