Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,27.7,25.6,27.4,32.7,27.5,21.1,26.6,10.7,25.9,29.9,34.3,31.2,23.4,31.8,30.2,29.7,27.2,26.5,22.4,20.3,24.9,35.7,27.8,6.2,6.2,22.3,26.7,26.7
2012,26.5,23.9,24.3,25.9,28.1,22.5,25.2,13.1,23.6,28,30.8,30.6,22.9,28.5,29.8,26,25.5,25.9,20.9,21,23.5,34.5,25.1,12.1,12.1,31.4,22.9,22.9
2013,27.5,25.3,26.5,29.4,28.4,21.8,28,12.3,25.3,26.4,32,32.2,24.8,33.7,27.2,26.5,28.7,27.7,22.8,20.1,25.1,34.2,26.4,14.1,22.4,34.9,33.8,20.2
2014,25.8,26.6,28.1,29.5,27.4,20.2,26.2,15.3,24.3,31.2,33.1,28.4,23.2,31.5,29.9,28.9,27.3,25.3,23.5,19.5,24.4,36.3,27.2,12.8,12.8,12.8,23.2,23.2
2015,27.7,25.9,28.3,28.7,29,21.3,16.5,23.4,25.8,28,30.3,33.8,22.2,24,27.1,28.7,29.1,29.1,30,26.8,26.8,26.8,7.3,13.2,24.8,26,26.1,35.3
